SW Bin,Desc,Site,Site%,Device#,Bin%,Good Bin,Reprobe Bin
"18","POST_EFUSE",1,100,1,100,0,0
"10","EFUSE_RES",0,***,0,0,0,0
"11","OVST_FAILED",0,***,0,0,0,0
"12","FAILED_ABSOLUTE_MAX_VOLTAGE_TEST",0,***,0,0,0,0
"13","FAILED_EN_FCB_FAULTB_OFF_FUNCTIONAL",0,***,0,0,0,0
"14","FAIL_SS_LEVEL_TEST",0,***,0,0,0,0
"15","FAIL_TJRESHOLD_TEST",0,***,0,0,0,0
"16","FAIL_OUTPUT_CHARACTERISTICS_TEST",0,***,0,0,0,0
"17","IBIAS_TRIM_FAILED",0,***,0,0,0,0
"19","IO_FAILED",0,***,0,0,0,0
"2","PIN_TO_PIN_LEAKAGE_TEST_FAIL",0,***,0,0,0,0
"20","ILIM_SLOW",0,***,0,0,0,0
"21","E_FUSE_BURN",0,***,0,0,0,0
"28","EFUSE_RES",0,***,0,0,0,0
"3","CONTINUITY_FAIL",0,***,0,0,0,0
"4","FAIL_GROSS_FUNC",0,***,0,0,0,0
"5","LEAKAGE_FAILED",0,***,0,0,0,0
"6","FAIL_TRIM",0,***,0,0,0,0
"7","THRESHOLD_FAILED",0,***,0,0,0,0
"8","VDD_UVLO_OTS_POR_FAILED",0,***,0,0,0,0
"9","SCAN_FAIL",0,***,0,0,0,0
"N/A","N/A",0,***,0,0,1,0
"db","",0,***,0,0,0,0
